trial_id,replicate_id,com_scale,payload_x_factor,payload_y_factor,measurement_seed,torque_seed,force_seed,payload_mass,payload_pos_x,payload_pos_y,payload_pos_z,motor_delay,motor_tau,effectiveness_initial,effectiveness_slope,torque_sigma_x,torque_sigma_y,torque_sigma_z,torque_tau_x,torque_tau_y,torque_tau_z,force_sigma_x,force_sigma_y,force_sigma_z,force_tau_x,force_tau_y,force_tau_z
65,0,nan,0.0,0.625,7000,7001,7002,0.5,0.0,0.19375,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
66,1,nan,0.0,0.625,7003,7004,7005,0.5,0.0,0.19375,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
67,2,nan,0.0,0.625,7006,7007,7008,0.5,0.0,0.19375,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
68,3,nan,0.0,0.625,7009,7010,7011,0.5,0.0,0.19375,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
69,4,nan,0.0,0.625,7012,7013,7014,0.5,0.0,0.19375,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
70,0,nan,0.0,1.25,7000,7001,7002,0.5,0.0,0.3875,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
71,1,nan,0.0,1.25,7003,7004,7005,0.5,0.0,0.3875,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
72,2,nan,0.0,1.25,7006,7007,7008,0.5,0.0,0.3875,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
73,3,nan,0.0,1.25,7009,7010,7011,0.5,0.0,0.3875,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
74,4,nan,0.0,1.25,7012,7013,7014,0.5,0.0,0.3875,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
75,0,nan,0.625,-1.25,7000,7001,7002,0.5,0.19375,-0.3875,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
76,1,nan,0.625,-1.25,7003,7004,7005,0.5,0.19375,-0.3875,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
77,2,nan,0.625,-1.25,7006,7007,7008,0.5,0.19375,-0.3875,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
78,3,nan,0.625,-1.25,7009,7010,7011,0.5,0.19375,-0.3875,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
79,4,nan,0.625,-1.25,7012,7013,7014,0.5,0.19375,-0.3875,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
80,0,nan,0.625,-0.625,7000,7001,7002,0.5,0.19375,-0.19375,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
81,1,nan,0.625,-0.625,7003,7004,7005,0.5,0.19375,-0.19375,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
82,2,nan,0.625,-0.625,7006,7007,7008,0.5,0.19375,-0.19375,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
83,3,nan,0.625,-0.625,7009,7010,7011,0.5,0.19375,-0.19375,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
84,4,nan,0.625,-0.625,7012,7013,7014,0.5,0.19375,-0.19375,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
85,0,nan,0.625,0.0,7000,7001,7002,0.5,0.19375,0.0,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
86,1,nan,0.625,0.0,7003,7004,7005,0.5,0.19375,0.0,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
87,2,nan,0.625,0.0,7006,7007,7008,0.5,0.19375,0.0,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
88,3,nan,0.625,0.0,7009,7010,7011,0.5,0.19375,0.0,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
89,4,nan,0.625,0.0,7012,7013,7014,0.5,0.19375,0.0,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
90,0,nan,0.625,0.625,7000,7001,7002,0.5,0.19375,0.19375,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
91,1,nan,0.625,0.625,7003,7004,7005,0.5,0.19375,0.19375,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
92,2,nan,0.625,0.625,7006,7007,7008,0.5,0.19375,0.19375,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
93,3,nan,0.625,0.625,7009,7010,7011,0.5,0.19375,0.19375,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
94,4,nan,0.625,0.625,7012,7013,7014,0.5,0.19375,0.19375,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
