trial_id,replicate_id,com_scale,payload_x_factor,payload_y_factor,payload_mass,payload_pos_x,payload_pos_y,payload_pos_z,true_com_x,true_com_y,true_com_z,measurement_seed,torque_seed,force_seed,position_rms,position_rms_x,position_rms_y,position_rms_z,velocity_rms,attitude_rms,attitude_rms_x,attitude_rms_y,attitude_rms_z,peak_attitude,angular_acc_command_rms,mean_dob_norm,final_com_error,final_com_error_x,final_com_error_y,final_com_error_z,moce_convergence_time,max_motor_utilization,max_servo_angle,saturation_time,terminal_altitude_m,terminal_tilt_rad,terminal_airborne,numerical_success,flight_success,success,failure_reason,runtime_s
20,0,nan,-1.25,1.25,0.5,-0.3875,0.3875,0.56,-0.04122340425531915,0.04122340425531915,0.059574468085106386,7000,7001,7002,0.07059942664486196,0.04474472005493506,0.05076376278112753,0.020130311922326227,0.14127300998127837,0.016043335828955882,0.008967110817429671,0.007212448186466193,0.011178557119151602,0.038703469855560224,4.337591703246183,1.904557188876129,0.0067672586126185505,0.0003395012709456746,0.0008509010221410263,0.006704960512009417,nan,0.44015545278557533,0.5429072234459106,0,0.7792097485748789,0.016132416420599455,True,True,True,True,normal_completion,6.273486976999266
21,1,nan,-1.25,1.25,0.5,-0.3875,0.3875,0.56,-0.04122340425531915,0.04122340425531915,0.059574468085106386,7003,7004,7005,0.07293018440329754,0.04441648041864938,0.054631528310087385,0.019010107280676813,0.1534200006062431,0.01627978396804228,0.00970578499957796,0.009787613647700727,0.008662085353506807,0.03284363148471325,4.512142290130643,1.842885357930966,0.0010384285093712438,0.0007555016016798158,-0.000300256405489939,-0.0006460628374210034,nan,0.42939017395834467,0.47996366949391583,0,0.7973583170731995,0.0024535130033892178,True,True,True,True,normal_completion,6.294647160999375
22,2,nan,-1.25,1.25,0.5,-0.3875,0.3875,0.56,-0.04122340425531915,0.04122340425531915,0.059574468085106386,7006,7007,7008,0.07710654400431334,0.04767314313159604,0.05686636863767689,0.020950099527384237,0.147373362482424,0.01706557901303536,0.010110721704475273,0.007714980067384705,0.011379208066674147,0.0343323698660375,4.402763677602342,1.583722792721069,0.005837548354951021,0.0005085894934024199,0.00032397577889944906,0.005806319593191417,nan,0.4538318595311489,0.5625075603503105,0,0.7671784161201377,0.017203396777695234,True,True,True,True,normal_completion,6.3955195179996736
23,3,nan,-1.25,1.25,0.5,-0.3875,0.3875,0.56,-0.04122340425531915,0.04122340425531915,0.059574468085106386,7009,7010,7011,0.0732437442855244,0.03911484241936306,0.059170808854554405,0.018261723877264956,0.14442607707474728,0.014007535070851642,0.009149073222182568,0.008448628213853171,0.006412969611682708,0.028306015534915113,4.431724263527073,1.9239689267533469,0.009439774092518075,0.0017963296718070051,3.8226369460353515e-05,0.009267204183174074,nan,0.4277202294790437,0.43610819586748745,0,0.794135507427732,0.018917240343879975,True,True,True,True,normal_completion,6.2797571510000125
24,4,nan,-1.25,1.25,0.5,-0.3875,0.3875,0.56,-0.04122340425531915,0.04122340425531915,0.059574468085106386,7012,7013,7014,0.07781401492409583,0.04874034088765305,0.056812901076704836,0.021253102362039634,0.16206933598446485,0.015268244433410884,0.008277154879535028,0.0069192666908670635,0.010804246555833018,0.035555555569361325,4.144542696705913,1.7044809124966516,0.0054294381035663785,-0.0005498839367127709,0.0012066727350106415,0.005265013455555995,nan,0.44565807103052424,0.3411271818995836,0,0.7924616987752097,0.004008956263384002,True,True,True,True,normal_completion,6.32205915600025
25,0,nan,-0.625,-1.25,0.5,-0.19375,-0.3875,0.56,-0.020611702127659576,-0.04122340425531915,0.059574468085106386,7000,7001,7002,0.07097254926649524,0.044833500095362744,0.051209649520132065,0.020115462077949883,0.14192164820384978,0.01402550315244494,0.009180299901241222,0.00668301304863385,0.00823250684751025,0.0365572565585951,4.295966161782317,1.858396650570026,0.006100402036576151,0.00031389658163495995,0.0008578787901179288,0.006031618184647147,nan,0.3967494084554879,0.30493191117686574,0,0.7793778105821605,0.013920096573971863,True,True,True,True,normal_completion,6.310000454999681
26,1,nan,-0.625,-1.25,0.5,-0.19375,-0.3875,0.56,-0.020611702127659576,-0.04122340425531915,0.059574468085106386,7003,7004,7005,0.07300441202926812,0.044691368989766576,0.054499668954941696,0.01902923533307217,0.15397014611851978,0.01507345794612023,0.010039692998274508,0.009233713999616634,0.0064149999787324555,0.038199880299827495,4.505022426277622,1.8006184702957575,0.0015766029930409273,0.0007495293406926222,-0.00028221182145582446,-0.001358027706984316,nan,0.4007903835676373,0.34805580448052525,0,0.7972528514095594,0.004999105092216257,True,True,True,True,normal_completion,6.39287988399974
27,2,nan,-0.625,-1.25,0.5,-0.19375,-0.3875,0.56,-0.020611702127659576,-0.04122340425531915,0.059574468085106386,7006,7007,7008,0.07757558517282576,0.04802568950471459,0.057208100994345146,0.020946067485900464,0.14833223829366468,0.01624115051347304,0.00994466893969334,0.006793454339663437,0.010896215297803744,0.03784067851518257,4.290831292894501,1.5242136353402589,0.004688219573895611,0.00038655123036633945,0.0003383774838898665,0.0046599872958793115,nan,0.39613008231253255,0.29651308592331316,0,0.7671271527915696,0.006712548494851581,True,True,True,True,normal_completion,6.350779318000605
28,3,nan,-0.625,-1.25,0.5,-0.19375,-0.3875,0.56,-0.020611702127659576,-0.04122340425531915,0.059574468085106386,7009,7010,7011,0.07336279896363511,0.039267153744535474,0.05921517400654861,0.01826893746105456,0.14519598196469383,0.014248397504844298,0.009582989395332421,0.008074781790893755,0.006780932438422473,0.03112223345926566,4.479983020245687,1.930830978019744,0.009078433389863434,0.0018079034016228387,8.605768014190857e-05,0.0088961807636916,nan,0.3975323090646192,0.34107421134363924,0,0.7941457476640713,0.02724439894961822,True,True,True,True,normal_completion,6.32389371499994
29,4,nan,-0.625,-1.25,0.5,-0.19375,-0.3875,0.56,-0.020611702127659576,-0.04122340425531915,0.059574468085106386,7012,7013,7014,0.07758183439594774,0.048543643792375135,0.05667830359781777,0.021213806279705077,0.16184607709669477,0.014322584089892364,0.009244903343763022,0.006513517465363963,0.008788758012649726,0.035867608472655695,4.2384514393928026,1.7250819840776985,0.004900116017758092,-0.0005578210730235039,0.0012270964035820259,0.0047110728135209695,nan,0.3944100443217422,0.41040501664078677,0,0.7925824271705962,0.005426145590270867,True,True,True,True,normal_completion,6.3726173120003295
