case,replicate_id,com_scale,time,altitude,attitude_error,motor_utilization,servo_angle,servo_rate,a1_min_singular,a1_condition,force_residual,torque_residual,com_error,dob_norm
success,2,1.22,-13.1225,0.25496079423220364,0.12141937557285026,0.31478066278669564,0.2524795682043702,0.6912982954829826,0.958750616620719,1.087555837986597,20.381006917122498,4.014507811443088,0.07565916760295552,0.0
success,2,1.22,-13.0975,0.258386136562331,0.13157253296591526,0.3278366779790072,0.2702937327287578,0.6143634837568858,0.9554107264953894,1.0948563355129617,20.398991071855498,3.5178778982097225,0.07565916760295552,0.0
success,2,1.22,-13.0725,0.2625119501145718,0.1416996990936925,0.33716993075335894,0.2879460524965225,1.0648962668801674,0.9523832468706708,1.10162567065522,20.270822909738392,3.9970957222262147,0.07565916760295552,0.0
success,2,1.22,-13.0475,0.26644051019540654,0.15179179974699383,0.3463923203310757,0.31024608426662736,0.7921228627697674,0.9485052071811273,1.110351353456907,19.842236658091334,3.762918345775789,0.07565916760295552,0.0
success,2,1.22,-13.0225,0.2704403830952864,0.16187064464506284,0.35958447676570526,0.33156249371246127,0.9761588523172714,0.9445918085079233,1.119144266431261,20.263623671420376,3.933239392413754,0.07565916760295552,0.0
success,2,1.22,-12.9975,0.2745319008967969,0.1732557302969352,0.3583995036963941,0.3548674173027686,1.1189702755157522,0.940478955909282,1.128547867769572,20.736960791615225,4.17821118319375,0.07565916760295552,0.0
success,2,1.22,-12.9725,0.27866730490004693,0.1837741879703688,0.36693614272504504,0.3795514997215716,0.8761241125176922,0.9359182009908722,1.1389967799259695,20.968700418505954,3.9504190959973866,0.07565916760295552,0.0
success,2,1.22,-12.9475,0.2829281482018882,0.19347404453121822,0.3770719292217233,0.40229972503875744,0.8957015919019101,0.9316885268738043,1.148804173740473,20.742381691207715,4.31591324793206,0.07565916760295552,0.0
success,2,1.22,-12.9225,0.2870747636622816,0.20365269557483323,0.38779192842550314,0.42946701402874493,1.0529849375410625,0.926553279476703,1.160791257972501,20.80881295788262,4.204251093230188,0.07565916760295552,0.0
success,2,1.22,-12.8975,0.2907488962035738,0.2140008652613821,0.3855690214181912,0.4526672565578607,1.2203253122006192,0.9213134555204554,1.1728455915513496,20.890810101871907,4.5057633687494265,0.07565916760295552,0.0
success,2,1.22,-12.8725,0.29444613582296,0.22223975985882555,0.38852566997718,0.4822109522502098,1.0065083095465615,0.9150957265728944,1.1874718656099936,21.28608932055331,4.413717267680868,0.07565916760295552,0.0
success,2,1.22,-12.8475,0.2981480102177692,0.230514138973437,0.39686808988165423,0.49809830738593913,0.8436509123407001,0.9113311724775924,1.196238826187654,21.627763074986422,4.363488006448122,0.07565916760295552,0.0
success,2,1.22,-12.8225,0.3019792440266591,0.23797566344004462,0.3925145193468211,0.518700100052098,1.156111127395273,0.9070496998968351,1.2062389631773325,21.27360298028711,4.510644233052344,0.07565916760295552,0.0
success,2,1.22,-12.7975,0.30557291072364406,0.24392484159684258,0.39410179940361884,0.5471981094405507,0.7952601061255654,0.9017004488400662,1.2188285845036,21.424875890790865,4.385725968837692,0.07565916760295552,0.0
success,2,1.22,-12.7725,0.30930954690580065,0.25147876614346976,0.39696574328560674,0.566123877146869,0.5689452310908805,0.8985084671663564,1.22615386639147,21.384186656371565,4.550035454159695,0.07565916760295552,0.0
